cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
3.22,9.77,158.75,347.0,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,158.76,347.18,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.77,347.36,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,158.78,347.54,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9994021787663641
3.25,9.77,158.8,347.72,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,158.65,347.78,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,158.5,347.84,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.35,347.9,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.21,347.96,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.06,348.03,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.15,347.95,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.24,347.88,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.33,347.81,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.42,347.74,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9825520102486186
3.24,9.77,158.51,347.67,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,158.62,347.48,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,158.73,347.3,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,158.84,347.11,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,158.96,346.93,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,159.07,346.75,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,158.91,346.88,0.0,0.0,54.89,255.99,1000.0,1000.0,200.0,200.0,1.0
3.22,9.77,158.75,347.01,0.0,0.0,54.78,255.99,1000.0,1000.0,200.0,200.0,1.0
3.2,9.77,158.59,347.14,0.0,0.0,54.67,255.99,1000.0,1000.0,200.0,200.0,1.0
3.18,9.77,158.43,347.27,0.0,0.0,54.56,255.99,1000.0,1000.0,200.0,200.0,1.0
3.16,9.77,158.27,347.41,0.0,0.0,54.45,255.99,1000.0,1000.0,200.0,200.0,1.0
3.15,9.77,158.36,347.4,0.0,0.0,54.36,255.99,1000.0,1000.0,200.0,200.0,1.0
3.14,9.77,158.44,347.4,0.0,0.0,54.27,255.99,1000.0,1000.0,200.0,200.0,1.0
3.12,9.77,158.52,347.39,0.0,0.0,54.18,255.99,1000.0,1000.0,200.0,200.0,1.0
3.11,9.77,158.61,347.39,0.0,0.0,54.09,255.99,1000.0,1000.0,200.0,200.0,1.0
3.09,9.77,158.69,347.38,0.0,0.0,54.0,255.99,1000.0,1000.0,200.0,200.0,1.0
