cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
3.6,9.77,158.86,347.06,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5793421750847013
3.6,9.77,158.77,347.15,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5758293094289091
3.6,9.77,158.77,347.15,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5189560922860472
3.6,9.77,158.77,347.15,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7410923741386319
3.6,9.77,158.77,347.15,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5472530331848537
3.6,9.77,158.77,347.15,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4036431836769634
3.6,9.77,158.77,347.15,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6896562458163409
3.6,9.77,158.87,347.16,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7341748966035969
3.6,9.77,158.96,347.17,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.743628274540613
3.6,9.77,159.05,347.18,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5813501708399077
3.6,9.77,159.15,347.2,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4398990544920371
3.6,9.77,159.24,347.21,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5622413909741502
3.54,9.77,159.24,346.71,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.012533803558409178
3.49,9.77,159.24,346.22,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,7.052650227440002e-05
3.43,9.77,159.24,345.72,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,2.2379933779212963e-07
3.37,9.77,159.24,345.22,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,1.2031431991793429e-05
3.31,9.77,159.25,344.72,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6362230942673592
3.37,9.77,159.23,345.21,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.568101033612906
3.43,9.77,159.22,345.69,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7149662072446044
3.48,9.77,159.21,346.18,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4858895229283549
3.54,9.77,159.19,346.66,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5884872604557342
3.59,9.77,159.18,347.14,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7623435285635114
3.59,9.77,159.18,347.14,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7176380110139456
3.59,9.77,159.18,347.14,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.8162047796897094
3.59,9.77,159.18,347.14,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7253158962934382
3.59,9.77,159.18,347.14,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6777817130733599
3.59,9.77,159.18,347.14,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7956053559990739
3.6,9.77,159.02,347.21,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.8085263575013072
3.6,9.77,158.87,347.28,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.8292082078109111
3.6,9.77,158.71,347.35,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.8057127416008724
3.6,9.77,158.55,347.42,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.8421223217952272
3.61,9.77,158.39,347.49,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.58505231991341
3.6,9.77,158.5,347.45,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6006685464451075
3.59,9.77,158.61,347.4,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6194991190176926
3.58,9.77,158.72,347.35,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5429391651712332
3.58,9.77,158.84,347.31,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5919376325915388
3.57,9.77,158.95,347.26,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.3273399649433279
3.57,9.77,158.95,347.26,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5602153587412013
3.57,9.77,158.95,347.26,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.509335675214563
3.57,9.77,158.95,347.26,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6152688206075325
3.57,9.77,158.95,347.26,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5883625143800687
3.57,9.77,158.95,347.26,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6194458443842992
3.57,9.77,159.03,347.32,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5763604688790815
3.58,9.77,159.11,347.38,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.682451374919705
3.58,9.77,159.19,347.44,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4598081231988298
3.59,9.77,159.27,347.5,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5746454712973738
3.6,9.77,159.35,347.56,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6745712332101693
3.6,9.77,159.35,347.36,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5097433067856227
3.6,9.77,159.35,347.17,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6885454155178508
3.6,9.77,159.34,346.97,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5335417257278422
