cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
3.51,9.77,158.9,346.54,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.010423983729812292
3.45,9.77,158.86,346.37,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6787163400840897
3.4,9.77,158.81,346.19,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6648671717544161
3.35,9.77,158.76,346.02,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.626982907177949
3.39,9.77,158.79,346.31,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4541716811997679
3.44,9.77,158.82,346.6,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.44579146659161173
3.49,9.77,158.85,346.9,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7367858491853286
3.53,9.77,158.88,347.19,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6565095752794201
3.58,9.77,158.92,347.48,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5925002405389629
3.58,9.77,158.81,347.61,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6172186141026459
3.59,9.77,158.71,347.73,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5092460400238533
3.59,9.77,158.6,347.85,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5309189000538974
3.59,9.77,158.5,347.98,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7689556372670902
3.6,9.77,158.4,348.1,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.56761267674755
3.6,9.77,158.48,347.85,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.585593158085766
3.6,9.77,158.57,347.6,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6491366693066478
3.6,9.77,158.66,347.34,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6173605907105735
