1706414707Connecting to host 11.11.11.16, port 5201
1706414708[  5] local 172.17.0.2 port 41796 connected to 11.11.11.16 port 5201
1706414709[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
1706414877[  5] 168.00-169.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414878[  5] 169.00-170.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414879[  5] 170.00-171.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414880[  5] 171.00-172.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414881[  5] 172.00-173.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414882[  5] 173.00-174.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414883[  5] 174.00-175.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414884[  5] 175.00-176.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414885[  5] 176.00-177.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414886[  5] 177.00-178.00 sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414887[  5] 178.00-179.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414888[  5] 179.00-180.00 sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414888- - - - - - - - - - - - - - - - - - - - - - - - -
1706414888[ ID] Interval           Transfer     Bitrate         Retr
1706414888[  5]   0.00-180.00 sec  1.05 GBytes  50.0 Mbits/sec    0             sender
1706414888[  5]   0.00-180.04 sec  1.05 GBytes  50.0 Mbits/sec                  receiver
1706414888
1706414888iperf Done.
1706414888Connecting to host 11.11.11.16, port 5201
1706414888[  5] local 172.17.0.2 port 45362 connected to 11.11.11.16 port 5201
1706414889[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
1706414889[  5]   0.00-1.00   sec  12.0 MBytes   100 Mbits/sec    0    132 KBytes       
